Day,Cumulative Cases
1,0
2,18
3,50
4,94
5,145
6,279
7,367
8,497
9,631
10,827
11,1112
12,1551
13,2053
14,2796
15,3745
16,4727
17,5915
18,7772
19,10021
20,13385
21,18085
22,24197
23,31013
24,40167
25,51602
26,62351
27,75242
28,92976
29,112220
30,131826
31,151270
32,172740
33,197924
34,224040
35,252085
36,283923
37,316808
38,342463
39,370872
40,401573
41,432490
42,467580
43,501069
44,532174
45,560175
46,584573
47,610651
48,640510
49,672087
50,704069
51,731895
52,759174
53,785279
54,811492
55,840628
56,872598
57,906872
58,942523
59,969581
60,992176
61,1017548
62,1043774
63,1073745
64,1106547
65,1135581
66,1161121
67,1183622
68,1206134
69,1231277
70,1258504
71,1285663
72,1310843
73,1331733
74,1350031
75,1372589
76,1394217
77,1420930
78,1446352
79,1469938
80,1490090
81,1510934
82,1531816
83,1553075
84,1579817
85,1603990
86,1626355
87,1645215
88,1663746
89,1680724
90,1700135
91,1722794
92,1746382
93,1769819
94,1791211
95,1811573
96,1831728
97,1851883
98,1872266
99,1895332
100,1917890
101,1936708
102,1953938
103,1971089
104,1991816
105,2013887
106,2036983
107,2062228
108,2083561
109,2102215
110,2125483
111,2149389
112,2176478
113,2207437
114,2239388
115,2268236
116,2295415
117,2329300
118,2368309
119,2407990
120,2452369
121,2495262
122,2536594
123,2576359
124,2623989
125,2674990
126,2728498
127,2782186
128,2836330
129,2881497
130,2922991
131,2974733
132,3037469
133,3096428
134,3163252
135,3225576
136,3286548
137,3344151
138,3406885
139,3472503
140,3542952
141,3619170
142,3683593
143,3747308
144,3804244
145,3867869
146,3937215
147,4008440
148,4083294
149,4147670
150,4207793
151,4262807
152,4321791
153,4385732
154,4454538
155,4522068
156,4582313
157,4628823
158,4678171
159,4729986
160,4782450
161,4836253
162,4897089
163,4950173
164,5000326
165,5042069
166,5097499
167,5153393
168,5205014
169,5262107
170,5317917
171,5360239
172,5397650
173,5438142
174,5483024
175,5526747
176,5572942
177,5618664
178,5655989
179,5690238
180,5726826
181,5770453
182,5814369
183,5860495
184,5904458
185,5943743
186,5975013
187,6017434
188,6047651
189,6092272
190,6143785
191,6188529
192,6221450
193,6249594
194,6271730
195,6302903
196,6340205
197,6384889
198,6426755
199,6461066
200,6494686
201,6529591
202,6569703
203,6612992
204,6660244
205,6705149
206,6740652
207,6779791
208,6829266
209,6867886
210,6911232
211,6966421
212,7013826
213,7048812
214,7084695
215,7121136
216,7165483
217,7211088
218,7260346
219,7311280
220,7349267
221,7387024
222,7425941
223,7476532
224,7531740
225,7588542
226,7645956
227,7692224
228,7734868
229,7783462
230,7839579
231,7902973
232,7971222
233,8028550
234,8076834
235,8133943
236,8194492
237,8255450
238,8328292
239,8410625
240,8493912
241,8558805
242,8621330
243,8693413
244,8772165
245,8860888
246,8958126
247,9048711
248,9122560
249,9204607
250,9291273
251,9394578
252,9511021
253,9636779
254,9766001
255,9876291
256,9995725
257,10126912
258,10271729
259,10423741
260,10595857
261,10759395
262,10903827
263,11052700
264,11209432
265,11373404
266,11556239
267,11749039
268,11928754
269,12079595
270,12230553
271,12397567
272,12581196
273,12707531
274,12901256
275,13055778
276,13191020
277,13338607
278,13515360
279,13711156
280,13921360
281,14146191
282,14357264
283,14534035